"Î³(t) - DE","POC IE","POF IE11","POF IE01","POF IE10","POF IE00"
81.75,17.3,82.75,82.75,82.8,82.8
94.2,66.35,87.3,86.45,88.85,87.7
93.9,42.45,66.2,69.65,75.45,67.25
94.3,67.1,75.8,76.3,86.35,76.35
94.95,89.55,89.8,90.05,89.35,90.3
95.7,92.2,92.8,93.75,93.15,93
95.25,93.75,93.4,93.7,95.05,93.4
95.7,94.3,94.05,94.3,94.45,94.15
95.8,95.05,95.35,94.75,94,95.3
95.15,95.1,95.75,95,94.6,95.7
94.45,94.65,94.95,95,94.55,94.55
93.95,94.9,95.45,95.05,93.4,94.9
95,94.9,94.7,93.5,93.9,94.7
95.25,94.55,94.25,92.15,93.1,94.25
94.8,95,94.3,94.1,93.7,94.45
94.3,95.3,94.6,94.7,95,94.95
94.3,94.85,95.05,93.05,95.25,94.75
94.2,93.6,95.2,94.8,94.75,94.35
93.45,93.85,94.5,94.9,94.95,94.65
93.2,94.2,94.9,94.35,95.05,94.6
